ID,User,ASIN,Rating
66799,A3NDST1X8JVAP7,1490471103,5
80385,A1E2T8OSEMVN3H,149473592X,5
80636,A3BR1CG9CRXB6Z,1494755610,5
45627,AGYHA346U3CNP,1477694919,2
78045,A2N0YZV2JT6O72,1493752650,5
94816,A3CMSC7HZMYCC2,B00APSWJM4,4
80493,A2ZU73E6RDADJV,1494751534,5
83054,A2ZU73E6RDADJV,1495912183,5
103080,A3361XGKYF17S3,B00HBIZ4UA,4
94507,A29M2V3Z5YIL2Q,B00A6NG154,5
105627,A30TZBEYTQK723,B00J1SP9FI,1
95283,A5FDYZB6MG2TT,B00B73H3K4,5
52202,A38GTWP8DC82GT,1481268503,3
4493,A2TGLLUT78OR9S,0373778295,3
6857,A9PQ156GPQNZX,042526985X,5
83488,AZJE74PQIGKOD,149600082X,3
79146,A39YNUAPSSOD82,1494289105,5
71979,A32SDI22JE3VA4,1492206083,5
48148,A1T7080QEOA6E1,1479359084,5
94290,A11HGVNM8Q5A2O,B009CE4TG6,5
74510,A1WXD8993UA6BG,1492784184,5
65323,A24525BQXRRBRQ,1490368574,5
61830,A3AXMI34CKM714,1484861280,5
10014,A3LW8GY42A4URK,0615581927,5
50568,A399IH9QO7J279,1480536466,5
17010,A1BUA3LAY7A8ZK,0985817003,5
70963,A3KM84RAZA7XXC,1491296518,5
73435,A3PLAR5IJW9SGP,1492375675,5
95689,A64NGKLPWCG32,B00BHLGZJ6,5
88201,A3BR1CG9CRXB6Z,1620612925,4
74757,A31L5PCBT6RSR2,1492788678,4
93375,A2NTCUJW056D97,1941098096,4
81012,A1TDSACWH3NYMW,1494852039,5
54895,A13NJZ1M018A7C,1482318687,5
83501,A1X2URS71RRMMF,149600082X,5
39297,A1KR8520E1P0AZ,147674355X,5
40839,A29K3AQS45Y57S,1476753164,5
28029,A6EAXALXUOFHY,1402244428,5
42374,A3UV7BV3U6NA57,147675652X,5
28114,A11WDELD5KF3HP,1402244428,4
78564,A22CXIFVSDXJL5,1494204339,4
5276,A6G9KHF2RCCB5,0425263924,4
7156,A1V3TIPMB2EDRU,0425272346,3
27651,AXFYKGIZ2DHQ0,125005236X,5
26331,A17ZSGJ0MGJSQM,0991426711,5
78528,AHXJNXJSX2NFV,1493788868,4
61515,AIH41FDX1K0Z4,1484835263,4
103798,A8RGD9RPL7YL3,B00HMP4JEO,5
65667,A2X7Q6WAYYSRHL,1490401822,5
29109,AXRI0U9CTVCL7,144235948X,4
49969,A1JQ9LM3HUW9QL,1480225649,5
40590,A3W2ZUMCYMW6B7,1476751803,5
42743,ADGIPWM0QESLH,1476756546,4
9347,A3O4LP2WSD8EP1,0578122596,4
59087,AE12HJWB5ODOD,148398527X,5
54383,A22VZG6L26GEE3,1482015560,4
12906,A2J7UWRODZ06S9,0615826814,2
30327,A1JLU5H1CCENWX,1453720693,5
31624,A2XHH5DF8628J8,145557631X,5
44743,A3BMLG97SSIKN3,1476776040,5
14137,A1LEQYV3H572Y1,0615887767,5
95058,A1JQ9LM3HUW9QL,B00B3KPBSW,5
29133,AOGRUTGTRTF97,144235948X,5
76614,AO74N9DWE1X0J,149298079X,5
25856,A2KXAK7UL6NNMZ,0991379616,2
108055,A2ELJYCKB7WTXW,B00KPIPQJ2,5
82082,A234OPMAEPDBFI,1495340600,5
21775,A5FDYZB6MG2TT,0989269833,3
82443,ARYFEQ8F6N0T,149539090X,5
70188,A1A34DY20PYGDY,1491230592,4
19066,AOARKJRXP4OGW,0988695111,4
106333,ALSEGBN10S06D,B00JGJB5E6,5
2951,A1FCQLP8ESWLDM,0062351893,5
41879,A2BGLPDRLCCEL2,1476755604,4
96391,A1ODOV9W7G3GF3,B00C74WXEI,4
77167,A2QWWSON17N3WK,1493584154,5
85080,A31L5PCBT6RSR2,1497454999,5
34812,A18B1WNWZW89V3,1469252317,4
66639,A16ZTSR8M5J5G2,1490436529,4
60630,A3D4Z4MKKR3LZD,1484131622,5
19872,A14E7UOXFGLIJN,0988771373,4
94126,A57OI31NU3CK,B008O0QUU2,3
21457,A1HAX9F7HY0D5V,0989247910,3
96057,A2L6E7FBLJFIUX,B00BS3J7F2,4
18567,AK4LWJM27FJDK,0988489112,5
96705,A3E8BQOX3OOUH2,B00CCVVKMW,4
47455,APC5HQQCS4X83,1478132744,5
8514,A38I2YE5DPF9PT,0451467965,4
20561,AR0LT0OXMJDX2,0989104400,5
73439,A1LGZR2O6G85X1,1492375675,5
157,A32ED2IY82H5HX,0062267175,3
44292,A3H1YPKLPLWALL,1476776016,5
87078,A33QP4JVGFYQTW,1500260290,5
30356,A38CCQ0KENGYSX,1453720693,5
94696,A1JQVAOISRZK3M,B00AMUZS3W,4
60969,A1IRYXDIFSCSEF,1484807944,5
76654,A1I5KY3AZHDNQQ,149298079X,4
91463,A2L8P8TR1VYGH7,1939455073,5
70229,A3TJIJ3RJDOSNM,1491232986,5
52509,A2R3VAGCIFTZUZ,1481802224,1
53544,A2YCTKN86EHQDV,1481953214,5
1111,A1ULRFNOXE2I08,0062289357,5
26129,A8FRLKQLNUKNP,0991379632,5
35344,A2ZH4J33QCJU3X,1469984016,5
73100,A2TFGYCEVHXU6W,149236522X,4
86087,A251SVMBQO95IE,1499190433,5
91451,A2ZP6ZIEQH9TQY,1939455073,5
2438,A2LLGLMTGAQ8B4,0062302426,5
76745,A3RBEDU006IQ9C,1492998214,5
1860,A38V2MNRQL36V7,006230240X,5
25578,A3HS3KYR9D08MW,0991192818,5
50388,A3KCWBZLTGI9NK,1480278807,4
96185,A35JQNJCE24RF3,B00BYK0OE2,5
40843,A9LO0O8HSMPRZ,1476753164,5
89187,ARBBIF5HSWYNB,1630350192,5
43097,A3C0ENCMXPULA1,1476761779,5
27179,A34JRGRUMOD5GO,0993702325,5
105322,A3E1PEOD4AZUE3,B00IODNJRG,5
104377,A11AYKR8GOW2HA,B00HXXE5Q2,5
55339,A2NCB0OH692UDJ,148234873X,5
71952,A17126555O7KXC,1492206083,3
98994,AUHZKF9EEKHLQ,B00E3DWAQM,5
86907,A06120993HKK17SIDKLPM,149979178X,5
53655,A1U3Z4ZHK688W7,1481957597,4
106124,APDBYAGNSIIXZ,B00JDYC5OI,5
64233,A3KBRXW4PKK2MT,1489570799,4
49656,A21TDEYVIR1OBZ,1480186120,5
6476,A3C5VDFQ6IE702,0425267806,3
2226,A1MUAEATTGI7G5,0062302418,5
86689,A2OS2JHUJ9B7E3,1499679106,5
80269,A2GPHBP4KS7OD6,149473592X,5
39191,APBF8YPKN9LFL,1476741182,4
39609,A2O3YPJ1EIUPBO,147674355X,5
90325,AJYM49U04915T,1938404017,5
27266,A3PZ5HPHY7KT3J,0996053018,5
77661,A3VTWIZJZ1LLA0,1493643274,4
102617,A2H1P8DHEPJ7YK,B00H0V069M,5
15528,A34P0LU7HW1MG1,0804176809,4
101972,A3Q6CMXMGESPOG,B00GLSBYYG,5
928,AH62R547L3FQT,0062273248,4
70241,A1R5QZMPDS13Y0,1491232986,5
63727,A3C08VYHPRD8Z6,1489528865,3
98369,AHZ63RT78P9U6,B00DK7EGCI,4
81580,AR5RH6CKOD86Y,1495281078,4
23349,A3MSI4YLWOJNM4,0989450201,5
19835,A2O4SN56PNX9YL,0988742942,5
3455,A1GIUW3JPN2S3M,0345545834,5
86182,AEUQJAEY6HA8F,1499198825,5
97877,A10M573AXOM1BG,B00DDXKA1U,4
20122,A2L1019ZU1MEDJ,0988812517,5
14267,A32FKNGECINXT,061589285X,4
66831,A1874P43JYYTJT,1490471103,5
90304,A2NNKUZDWQ5UGY,1938404017,5
18794,A3326UAF6R1PJM,0988489198,5
2624,AJJC674MWULT1,0062304828,5
68267,A1LGEZKBNXPUW9,1490946810,3
104028,A143XY6COA69A,B00HOSAE52,4
22198,A214XO8CSK6LR7,0989339246,5
71398,A9PQ156GPQNZX,1492121169,5
24615,A377AQ6Z5SQKTK,0989668401,5
2154,A1JQ9LM3HUW9QL,006230240X,5
108376,A3QQ3G6YIZKGV,B00L9HIR4E,5
84095,A33JTEMYGCO69V,1496116151,5
24052,A20CJS1U3Q5PZA,0989450252,5
36274,A2JEMQT3E5Y3ZS,1476712980,5
95502,A11R8KF20QZPRF,B00BEK71Q6,3
8794,A33V7TNI64YB1Z,0451468279,3
101429,A1H91CXX9TWOD9,B00G8BHJB8,4
74624,A14P4UH613ZFQZ,1492787701,5
81497,A2MHRBM9MKRNTN,1495269655,5
3393,AIIK1Z94HK7A6,0345544110,5
62936,A20K2EXYUN4W33,1484988833,5
73917,ASQYH3Z7VX7WD,1492740357,4
55171,A1RVTF261ZMY4M,1482332574,4
74432,A1SFNAPI9UFL3D,1492769339,5
86384,A143XY6COA69A,1499324855,5
96868,A535AAXVRE5VM,B00CGTWC0O,4
38216,AFIQKSK0HOO1R,1476735247,5
17212,AROM93VDAPJEX,0985817089,3
87667,A64NGKLPWCG32,1620151731,4
38365,A320NYVVIZSZGY,1476735247,5
55966,A2RQEIYIOV3QXD,148261376X,4
